issuekey,storypoint,description,title,,,,
61d6a457f4d395ee2227bdb7,900,The onkeypress handler on the hide/show timer bar button in the assessment delivery is redundant to the onclick handler and is causing problems for keyboard only users.\n\nThe onkeypress handler is not needed as Web Browsers will fire the onclick handler on buttons even if the button is activated by a keyboard interaction.,Accessibility: Remove onkeypress handler from hide/show timer bar button,,,,
61d6a457f4d395ee2227bf45,7200,"Wake discovered a problem nearly identical to SAK-22210 when upgrading to 2.9.\r\n\r\nWhen they deployed to all their dev and test environments, there was no issue. The same set of artifacts was scheduled for prod deployment in the same environmental setup - however this resulted in the errors seen in the above ticket. \r\n\r\nSome trial and error showed that by loading samigo-app after everything else had loaded would not produce the error, but restarts would cause problems unless the samigo app was removed and added after the other tools started up (ie startup tomcat/sakai without samigo-app and then deploy it separately after sakai had started).\r\n\r\n",Xalan conflict with Samigo and Rwiki,,,,
61d6a457f4d395ee2227c081,3600,"On assessment contains file upload questions, the remove link doesn't work .\nFrom the student view, when you try to remove the uploaded file by clicking remove link, after the remove confirm page, the file still shows on the assessment page. From the database, the record of that intended removed file is still in the DB table, SAM_MEDIA_T.\n\nSteps to reproduce the problem:\n   1.  Create and publish a new assessment with one question of type 'File Upload' \n   2. As a student, take the assessment and respond to the question by clicking 'Choose File', selecting a file, then clicking 'Upload'.\n   3. Attempt to remove that file by clicking the 'Remove' link next to the file name, then clicking the 'Remove' button on the confirmation screen. The file should still show when the browser returns you to the question page.\n   4. Repeat step 3, the browser should take a lot longer to respond. You should eventually get sent back to the question page where the file still persists.\n\nThe problem is in AssessmentGradingFacadeQuesries.java, \nfunction removeMediaById(Long mediaId, Long itemGradingId),\nafter \nstatement.executeUpdate();\n\nThere is no commit statement to commit the change. It assumes that auto-commit is true, the change will be auto-committed to the DB when the connection is closed. But this is not  always the case.\nthe fix should be:\n\nafter statement.executeUpdate();\nadd: \n\nif (!conn.getAutoCommit())\n    	 conn.commit();\n\n\n","file upload question, in student view,  remove link doesn't remove the uploaded file",,,,
61d6a457f4d395ee2227c282,288000,"Lydia Samigo 2.0 task: Add random draw from question pool to authoring, delivery, and grading.",Add random draw from question pool,,,,
61d6a457f4d395ee2227c284,460800,Ability to import Respondus-generated QTI questions into Tests & Quizzes as assessment or question pool.,QTI import of Respondus-generated questions,,,,
61d6a457f4d395ee2227c28b,144000,"Daisy Task #1 for Samigo 2.0: Refactor code, mavenize, enable HSQLDB and MySQL along with Oracle.",Refactor code,,,,
61d6a457f4d395ee2227c299,144000,"Daisy Samigo 2.0 task #2: Finish the file upload question type (authoring, delivery, and grading).",Finish File Upload Question Type,,,,
61d6a457f4d395ee2227c2a3,288000,"Qingru Samigo 2.0 task: Complete Marc's list of ""green star"" UI tasks, and redo the assessment preview to use the delivery code.  Set a session variable to mark whether it is a preview or not, and if the preview variable is set, grey out ""Submit for Grading"" and don't save anything for ""Next"" and ""Previous"", and make whatever other changes Marc describes.",UI enhancements and correct assessment preview,,,,
61d6a457f4d395ee2227c2ae,288000,"Qingru Samigo 2.0 task: Add submission status screen, as per Marc's mockup, and get Marc and Margaret's go-ahead when you think it's done.",Add submission status screen,,,,
61d6a457f4d395ee2227c2b2,576000,Lydia Samigo 2.0 task: Add support for web services as specified by Chuck and Anthony for demonstration at alt-i-labs in June.,Web services support,,,,
61d6a457f4d395ee2227c2bd,288000,Daisy Samigo 2.0 task #4: Integrate Samigo with 2.0 gradebook,Gradebook Integration,,,,
61d6a457f4d395ee2227c2be,57600,[Placeholder]\nplan of action for service refactoring (SAM-513)\nmust consult UCB (prob. Ray) for how gradebook was done.,technical specification for service refactoring (SAM-513),,,,
61d6a457f4d395ee2227c2bf,288000,Qingru Samigo 2.0 task: Fix outstanding bugs in Samigo.,Fix bugs,,,,
61d6a457f4d395ee2227c2c3,600,"I know this isn't specifically a bug, so forgive me in advance.  I also know this isn't a ""general tech support"" forum, so again - forgive me.\nWe are running into the 4k character limit within Samigo.  I found a hint of what needs to be done to change this, but I am not sure where to start to change the DB values.  I'm not a database/mysql guy.  Where do I make this change?\n\nCan you point me towards some sort of community-based forum discussion directed at Sakai support?  I've seen the mailing lists but I'm not sure that they are all that active, or geared towards what we're looking for.\n\nThanks.",Character limit of 4000 in Test/Quizzes - QUICK question.,,,,
61d6a457f4d395ee2227c2cb,600,"Similar to SAM-756, except this JIRA tracks the work for increasing the character limit of 4000 to 60000 for all feedback fields for all question types. ",Character limit of 4000 in Test/Quizzes for feedbacks,,,,
61d6a457f4d395ee2227c2cc,288000,Daisy Samigo 2.0 task #3: Integrate Samigo with Sakai 2.0.,Integrate Samigo with Sakai 2.0,,,,
61d6a457f4d395ee2227cc86,14400,Use CI as the CI server.\r\nIt fix the travis issues and also saves about 4m of thime while testing\r\nPR added: https://github.com/sakaiproject/sakai/pull/4388 ,Use CircleCI as the CI server,,,,
61d6a457f4d395ee2227d4bf,3600,Using the EntityBroker to deliver the user information the 'type' is not displayed as the constructor does not add the field to the object.\r\n\r\nthis.type = user.getType(),,EntityUser class constructor does not add field for type,,,
61d6a457f4d395ee2227d503,7200,"I was performing installation of Sakai Demo and I was finishing to install Tomcat when I run command:\r\n\r\nsh start-sakai.sh \r\n\r\nand system start to install. But, at the end I got following error on the screen log.\r\n\r\norg.apache.coyote.AbstractProtocol destroy\r\nINFO: Destroying ProtocolHandler [""ajp-bio-8009""]\r\n\r\nI would like to know what should I change to continue with the demo install.",Installation Problem in a Demo Install,,,,
61d6a457f4d395ee2227d528,115200,"Forum discussion messages table uses the jQuery tablesorter plugin and it sorts data in clien side, but for date column it does not use a correct parser and it's using a text default parser, causing incorrect date sorting (date ir sorted as a text string).\r\n\r\nAdditionally date is printed in local timezone formats according to user lang preference, so the date format can vary in user screen (so there is no a generic date parser, and no possibility to write a generic one)\r\n\r\nFor example, a descendant date column sort can produce this results:\r\n_7 ene 2016 16:22\r\n7 ene 2016 16:19\r\n23 ene 2016 16:22\r\n12 ene 2016 16:22_\r\n\r\nThe proposal is to add a hidden timestamp value before date output to achieve a correct date sorting.\r\n\r\nCurrent code:\r\nIndex: dfAllMessages.jsp\r\n===================================================================\r\n 				    </h:outputLink>\r\n 				</f:facet>\r\n 				<h:panelGroup rendered=""#{!message.deleted}"" >\r\n 					<h:outputText value=""#{message.message.created}"" rendered=""#{message.read}"">\r\n 						<f:convertDateTime pattern=""#{msgs.date_format}"" timeZone=""#{ForumTool.userTimeZone}"" locale=""#{ForumTool.userLocale}""/>\r\n 					</h:outputText>\r\n\r\nProposed code:\r\nIndex: dfAllMessages.jsp\r\n===================================================================\r\n 				    </h:outputLink>\r\n 				</f:facet>\r\n 				<h:panelGroup rendered=""#{!message.deleted}"" >\r\n+					<f:verbatim><span style=""display: none;""></f:verbatim>\r\n+						<h:outputText value=""#{message.message.created.time}"" />\r\n+					<f:verbatim></span></f:verbatim>\r\n 					<h:outputText value=""#{message.message.created}"" rendered=""#{message.read}"">\r\n 						<f:convertDateTime pattern=""#{msgs.date_format}"" timeZone=""#{ForumTool.userTimeZone}"" locale=""#{ForumTool.userLocale}""/>\r\n 					</h:outputText>",Incorrect forum message table sort by date column,,,,
61d6a56ff4d395ee2227e381,28800,The poll tool build target is creating sakai-poll-tool-1.1.2-SNAPSHOT.war and the websphere ear is looking for sakai-poll-tool-1.1-SNAPSHOT.war.  The websphere ear build need to match the version of the poll tool build.,poll tool build problem for websphere with 2.6.x-qa ,,,,
61d6a56ff4d395ee2227e5d7,3600,"when you want to export metaobj, matrix, portfolios, the  urlst include à & char.\r\nand the export fails.\r\nI have seen that in https://source.sakaiproject.org/svn/portal/branches/portal-2.9.x/portal-util/util/src/java/org/sakaiproject/portal/util/URLUtils.java\r\nthe & char is present line 85 in \r\n	\r\n	public static String BAD_PATH_URL_CHARS = ""\""'<>&"";\r\n\r\nwhen you remove the & char in  the line 85 like :\r\n            public static String BAD_PATH_URL_CHARS = ""\""'<>"";\r\n\r\nexport becomes possible.\r\ncan you apply a patch for 2.9x version ? please","the export problem still exist when you want to export metaobj, osp matrix,osp template or osp portfolio presentations .",,,,
61d6a56ff4d395ee2227e7b8,1800,We have run L10stats tool (https://source.sakaiproject.org/contrib/loi/l10n-stats) and have found that most of the tools have properties bundles plenty of extra keys that are no longer used. It is possible to configure this tool to clean this extra keys in non-English locales (refer to readme.txt) using -clean -sourcepath <path_to_sakai_source>. If you do that and then issue svn diff you'll get a 18 MB!!!! file.\r\nIt would be highly desirable to run this tool over the trunk. I'm attaching the patch for 2.9.3 which is the version we're migrating to.,Clean non-English properties bundles,,,,
61d6a56ff4d395ee2227e99b,14400,"The specific tool which was causing the error was identified. MSGCNTR  messageforums/PrivateMessagesTool\r\n\r\nSymptom\r\n--------------\r\nAn error report was generated. The root cause being displaying ""User replyrecipientaddtmp == null!""\r\nThe website would then show the error report screen.\r\n\r\nError\r\n-------\r\nThe code for this tool was extremely static. When choosing the reply to all option it would retrieve a list of user IDs it sent the original message to. It would then go through the list adding these users and attempt to retrieve the email address and other relevant details. However 4 users who were part of the original list are not part of the APT-Assist Sakai database any longer.\r\nWhen the code encountered these missing users it simply exited the process and generated the report.\r\n\r\nSolution\r\n------------\r\nWe have modified the code, it will now log the missing user IDs but continue to create a list of recipients for the new email address.\r\n\r\nPlease find the patch attached.\r\n\r\nFull error below :\r\n\r\n{PrivateMessagesTool.processPvtMsgReplyAllSend}: javax.faces.el.EvaluationException: java.lang.IllegalStateException: User replyrecipientaddtmp == null! \r\njavax.faces.FacesException: #{PrivateMessagesTool.processPvtMsgReplyAllSend}: javax.faces.el.EvaluationException: java.lang.IllegalStateException: User replyrecipientaddtmp == null!\r\n	at com.sun.faces.application.ActionListenerImpl.processAction(ActionListenerImpl.java:78)\r\n	at javax.faces.component.UICommand.broadcast(UICommand.java:312)\r\n	at javax.faces.component.UIViewRoot.broadcastEvents(UIViewRoot.java:267)\r\n	at javax.faces.component.UIViewRoot.processApplication(UIViewRoot.java:381)\r\n	at com.sun.faces.lifecycle.InvokeApplicationPhase.execute(InvokeApplicationPhase.java:75)\r\n	at com.sun.faces.lifecycle.LifecycleImpl.phase(LifecycleImpl.java:200)\r\n	at com.sun.faces.lifecycle.LifecycleImpl.execute(LifecycleImpl.java:90)\r\n	at javax.faces.webapp.FacesServlet.service(FacesServlet.java:197)\r\n	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:269)\r\n	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:188)\r\n	at org.sakaiproject.util.RequestFilter.doFilter(RequestFilter.java:598)\r\n	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:215)\r\n	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:188)\r\n	at org.apache.catalina.core.ApplicationDispatcher.invoke(ApplicationDispatcher.java:659)\r\n	at org.apache.catalina.core.ApplicationDispatcher.processRequest(ApplicationDispatcher.java:457)\r\n	at org.apache.catalina.core.ApplicationDispatcher.doForward(ApplicationDispatcher.java:395)\r\n	at org.apache.catalina.core.ApplicationDispatcher.forward(ApplicationDispatcher.java:311)\r\n	at org.sakaiproject.tool.messageforums.MessageForumsFilePickerServlet.dispatch(MessageForumsFilePickerServlet.java:166)\r\n	at org.sakaiproject.jsf.util.JsfTool.doPost(JsfTool.java:256)\r\n	at javax.servlet.http.HttpServlet.service(HttpServlet.java:647)\r\n	at javax.servlet.http.HttpServlet.service(HttpServlet.java:729)\r\n	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:269)\r\n	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:188)\r\n	at org.sakaiproject.util.RequestFilter.doFilter(RequestFilter.java:598)\r\n	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:215)\r\n	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:188)\r\n	at org.apache.catalina.core.ApplicationDispatcher.invoke(ApplicationDispatcher.java:659)\r\n	at org.apache.catalina.core.ApplicationDispatcher.processRequest(ApplicationDispatcher.java:457)\r\n	at org.apache.catalina.core.ApplicationDispatcher.doForward(ApplicationDispatcher.java:359)\r\n	at org.apache.catalina.core.ApplicationDispatcher.forward(ApplicationDispatcher.java:311)\r\n	at org.sakaiproject.tool.impl.ActiveToolComponent$MyActiveTool.forward(ActiveToolComponent.java:511)\r\n	at org.sakaiproject.portal.charon.SkinnableCharonPortal.forwardTool(SkinnableCharonPortal.java:1429)\r\n	at org.sakaiproject.portal.charon.handlers.ToolHandler.doTool(ToolHandler.java:204)\r\n	at org.sakaiproject.portal.charon.handlers.ToolHandler.doGet(ToolHandler.java:96)\r\n	at org.sakaiproject.portal.charon.handlers.ToolHandler.doPost(ToolHandler.java:73)\r\n	at org.sakaiproject.portal.charon.SkinnableCharonPortal.doPost(SkinnableCharonPortal.java:1224)\r\n	at javax.servlet.http.HttpServlet.service(HttpServlet.java:647)\r\n	at javax.servlet.http.HttpServlet.service(HttpServlet.java:729)\r\n	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:269)\r\n	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:188)\r\n	at org.sakaiproject.util.RequestFilter.doFilter(RequestFilter.java:659)\r\n	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:215)\r\n	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:188)\r\n	at org.apache.catalina.core.StandardWrapperValve.invoke(StandardWrapperValve.java:213)\r\n	at org.apache.catalina.core.StandardContextValve.invoke(StandardContextValve.java:172)\r\n	at org.apache.catalina.core.StandardHostValve.invoke(StandardHostValve.java:127)\r\n	at org.apache.catalina.valves.ErrorReportValve.invoke(ErrorReportValve.java:117)\r\n	at org.apache.catalina.core.StandardEngineValve.invoke(StandardEngineValve.java:108)\r\n	at org.apache.catalina.connector.CoyoteAdapter.service(CoyoteAdapter.java:174)\r\n	at org.apache.coyote.http11.Http11Processor.process(Http11Processor.java:881)\r\n	at org.apache.coyote.http11.Http11BaseProtocol$Http11ConnectionHandler.processConnection(Http11BaseProtocol.java:674)\r\n	at org.apache.tomcat.util.net.PoolTcpEndpoint.processSocket(PoolTcpEndpoint.java:541)\r\n	at org.apache.tomcat.util.net.LeaderFollowerWorkerThread.runIt(LeaderFollowerWorkerThread.java:81)\r\n	at org.apache.tomcat.util.threads.ThreadPool$ControlRunnable.run(ThreadPool.java:689)\r\n	at java.lang.Thread.run(Thread.java:662)\r\nCaused by: javax.faces.el.EvaluationException: java.lang.IllegalStateException: User replyrecipientaddtmp == null!\r\n	at com.sun.faces.el.MethodBindingImpl.invoke(MethodBindingImpl.java:130)\r\n	at com.sun.faces.application.ActionListenerImpl.processAction(ActionListenerImpl.java:72)\r\n	... 54 more\r\nCaused by: java.lang.IllegalStateException: User replyrecipientaddtmp == null!\r\n	at org.sakaiproject.tool.messageforums.PrivateMessagesTool.processPvtMsgReplyAllSendHelper(PrivateMessagesTool.java:2910)\r\n	at org.sakaiproject.tool.messageforums.PrivateMessagesTool.processPvtMsgReplyAllSend(PrivateMessagesTool.java:2817)\r\n	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)\r\n	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:39)\r\n	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:25)\r\n	at java.lang.reflect.Method.invoke(Method.java:597)\r\n	at com.sun.faces.el.MethodBindingImpl.invoke(MethodBindingImpl.java:126)\r\n	... 55 more",Reply to all bug in the messageforums tool,,,,
61d6a56ff4d395ee2227eae6,14400,Mark a graded forum posting as read.   ,CLONE -Mark a graded forum posting as read ,,,,
61d6a56ff4d395ee2227eafc,57600,"On our instance of Sakai, we were noticing very slow load times for the main forums page.  For a class which had about 4,400 messages, it was taking an average of 27 seconds for the page to load.  Admittedly I think we have speed issues which go way beyond the main forums page, but we still set out to see if we could improve that performance at all.  The result of that work was the patch which I am submitting here for review.  We were able to reduce load time to an average of 5 seconds.  We are currently running this in production with no known outstanding bugs, but please take a look and let me know what you think.\n\nThe patch did a couple things to try to improve speed, but the biggest gain came when I split the one query that used to grab all of the forums, messages, and topics in one query into three separate queries: one to get the data on the topics and forums, one to get the message count for each topic, and one to get the total read message count for each topic for each user.  I think this helped because with one query, we were getting a copy of each forum and each topic for each message.  So in the site with 4000+ messages, the query would return 4,000+ copies of the forums data and 4,000+ copies of the topics' data.\n\nThe other thing I did was to modify Hibernate to use the sort attribute instead of the order-by attribute.  This shaved a couple seconds off of the query speed that was originally running as it was unnecessary to sort all 4000 rows being returned with one order-by clause.  However, in order to fully accommodate this change, I had to modify the API slightly:\norg/sakaiproject/api/app/messageforums/BaseForum.java\n public void setTopicsSet(Set topicsSet) -> public void setTopicsSet(SortedSet topicsSet)\n\nI hope this helps, and please let me know if you see anything I missed or could improve on further.  Thanks.",CLONE -the main forums page loads slowly,,,,
61d6a56ff4d395ee2227ec29,14400,"Custom Parameters may be edited in TextArea, separated by new lines.  If this is done, and the tool is edited from the Site Editor, the field is a text field, instead of TextArea, and the custom parameters become one entry containing ""<br/>"".\r\n\r\n\r\nSteps to reproduce:\r\nThis takes two steps to produce:\r\n    [a] Save custom parameters\r\n    [b] Edit the tool as admin\r\n\r\n[a] Save custom parameters\r\na1. Login as user that has the ability to modify the sakai.basiclti properties\r\na2. Open the page showing the sakai.basiclti tool\r\na3. Click on the tool's edit icon (looks like paper with pencil on my computer)\r\na4. In ""Custom Launch Parameters"", enter multiple parameters one-per-line\r\na5. Press button ""Update Options"" to save the changes\r\n\r\n[b] Edit the tool as admin\r\nb1. Login as admin\r\nb2. Click ""Sites"" to open list of sites\r\nb3. Click on ID of site with the sakai.basiclti tool\r\nb4. Click on button ""Pages""\r\nb5. Click on ID of page containing the sakai.basiclti tool\r\nb6. Click on button ""Tools""\r\nb7. Click on ID of the sakai.basiclti tool\r\n* Take a look at imsti.custom field - notice this is text field with multiple entries including ""<br/>""\r\nb8. Press ""Save"" button\r\n\r\n\r\nWorkaround/Solution:\r\nEntering multiple parameters separated by semicolon appears to work fine.  Allowing multi-line entries would require using TextArea in Site Editor, or ""cleaning up"" the entry by replacing ""<br/>"" with semicolons.  Using semicolons will ""mess up"" the view in the TextArea; one workaround for that is to replace semicolons with new lines.\r\n\r\nMy preference would be to either:\r\n[A] Do not have two different forms for editing these parameters\r\nAND/OR\r\n[B] Use one set of input for each parameter instead of TextArea.  Coding this is a little challenging, but not so hard to do.  Add new input fields when the user asks for them, and hide elements when the user asks to delete one.  Some field needs to be sent to the user indicating parameters to delete.  This makes a nice interface.",2+ Custom Parameters Separated by New Lines Broken after Saving sakai.basiclti Tool,,,,
61d6a56ff4d395ee2227ece0,21600,"Depending on a combination of the browser settings and the settings on the destination tool, it is possible for the auto-submit as part of the launch to be mis-iterpreted as ""not UTF-8"" - so we need to bend over backwards to add proper headers and settings to communicate to the destination system that the POST data is UTF-8.\n\nActually there is no reported bug for this, but in some other investigation, which led to me altering my test harness at www.imsglobal.org, it became clear that it was a good step to add explicit character set aspects on the launch page.\n\nThe attachments show what can go wrong - The characters are supposed to be ""(such as ñ, á, ä, à, etc.)"" - the bug in this case was not Sakai's but instead the PHP receiving the data.  But jsut to be on the safe side, lets make this nice and clean in Sakai.",Insure that all the proper UTF-8 Headers are in-place for the Basic LTI launch,,,,
