issuekey,storypoint,description,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61d4a8ddf4d395ee22087a14,3600,"Weld-servlet 1.1.1-Final identifies tomcat 7 as tomcat 6 environment.In Listener.java it executes the following code \n\ncontainer = checkContainers(cc, dump, Arrays.asList(\n  Tomcat6Container.INSTANCE,\n  Tomcat7Container.INSTANCE,\n  Jetty6Container.INSTANCE,\n  Jetty7Container.INSTANCE,\n  JettyPost72Container.INSTANCE)\n); \n\nThis method returns a Tomcat6Container as Tomcat 7.0.11 at least has the class org.apache.catalina.core.ApplicationContextFacade. I would suggest reversing the order to have Tomcat7Container checked first as I from my knowledge the class org.apache.tomcat.InstanceManager is new to Tomcat 7\n\n\n\n",Tomcat 7 container is identified as Tomcat 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61d4a8ddf4d395ee22087a8b,108000,I am currently starting to translate the Weld Reference Documentation to German (de-DE). I'd like to contribute that bit by bit to the repository.,German translation of Weld Reference Documentation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61d4a8ddf4d395ee22087ba5,86400,"There should be an example that demonstrates the minimal use of conversations, perhaps using the example from the spec or reference guide. The example should include a scenario where the conversation is propagated on a postback, both with and without <f:ajax>.",conversation example,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61d4a8ddf4d395ee22087bb9,900,Lock down the version of the jboss-maven-plugin by specifying the version in the plugin management section of the weld-parent pom (or alternative place as appropriate). The current version is 1.4.,specify the version of the jboss-maven-plugin in weld-parent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61d4a8ddf4d395ee22087c9d,1800,"The WebBeansELResolver is overstepping it's bounds by resolving every nested property in a EL expression against the named bean repository. Once the base is resolved, and it is determined that that base is not a namespace, the WebBeansELResolver should stand down and allow the rest of the EL resolver chain to handle the nested property.",WebBeansELResolver should not be resolving regular properties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61d4a8ddf4d395ee22087cac,1800,"When a session ends, the ServletLifecycle performs cleanup. However, it is blindly creating a mock request and then ending it before the method returns. This breaks web applications that attempt to end the session in the middle of a request. The routine should detect if an active request exists and honor it.\n\nAt the same time, all of Web Beans should be cognizant of the fact that a session can be terminated at any time and should check for the existence of a session in life-cycle routines.",ServletLifecycle should only end request when destroying session if using a mock request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61d4a8ddf4d395ee22087f78,43200,"                ""DataTransferProtocol.DataNode.Builder message\n                        = DataTransferProtocol.DataNode.newBuilder();\n                message.setAppendStatus(appendStatus);\n                message.setData(ByteString.copyFrom(data));\n                long begin = System.currentTimeMillis();\n                session.getBasicRemote().sendBinary(\n                        ByteBuffer.wrap(message.build().toByteArray()));\n                long cost = System.currentTimeMillis() - begin;""\n\nI need to send audio data in binary form, which occasionally sends blocking problems.The server is unable to receive the data for a long time, causing a session timeout and closing the session.The problem is low frequency, 5-8 hours of uninterrupted send data may only occur once.Hope help trying to solve,",send binary data slowly (both  on basic remote and async remote sometimes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61d4a8ddf4d395ee22087f79,3600,"rewrite rule env is missing, i write config as flowing\n\nRewriteCond %{REQUEST_METHOD} GET [NC]\nRewriteRule ^/index.html/ent$ /ent [NE,R,E=original-path:%{REQUEST_PATH}]\n\nbut can't get it from request object",RewriteHandler URL env lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61d4a8ddf4d395ee2208801c,57600,"In windows we can have one hostname.\nFurthermore we can have two Network Interfaces.\nThe Network Interfaces can have different IP-Addresses. \nThis means one hostname can have two different IP addresses!\nWhat IP Address is preferred is defined by the ""metric"". Lower metrics must be preferred.\n\nBug: JBoss ignores the metric.","Two network-cards with different metric, wrong IP-Address lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61d4a8ddf4d395ee220881a9,28800,,Default HTTP/2 (=> no openssl provider used) doesn't work with curl ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61d4a8ddf4d395ee220882f3,3600,"With the current dependency on XNIO 3.3.3.Final, most of the examples just die with a ""Connection Reset"" error.  It's difficult to track down what the actual issue is, and required a bit of trial and error.  I can confirm the 3.3.4.Final works with Undertow 1.3.10.Final.  \n\nI found this issue initially with Undertow 1.3.8.Final",Update XNIO Dependency from 3.3.3.Final to 3.3.4.Final,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61d4a8ddf4d395ee2208840b,144000,"The version affected, as far as I know, is 1.0.15 that WildFly 8.1.0 use. But I could not select that version in the list.\n\nIf @OnMessage throw a RuntimeException, Undertow will force-close the endpoint/websocket without even calling the @OnClose annotated method. Thereafter, the @OnError method is property invoked. However, at this point in time, it is too late for the application to respond appropriately to the client as the websocket has been closed.\n\nTyrus, used by GlassFish, does not close the WebSocket. The exception is caught and delivered to @OnError, making it possible for the application to handle the exception as he see fit. Maybe the application has reason to close the client, maybe not.\n\nI wrote a complete test to illustrate this problem here:\nhttps://github.com/MartinanderssonDotcom/websocket-exception-handling\n\nThe test project uses Arquillian with two Maven build profiles for GlassFish and WildFly so it's a no-brainer to have the test application running within a few minutes. GlassFish pass the test, WildFly don't.\n\nThe Java API for WebSocket specification (JSR-356) says on page 7 (section 2.1.5 ""Closing Connections""):\n\n""If an open connection to a websocket endpoint is to be closed for any reason, [..] the websocket implementation must invoke the onClose() method of the websocket endpoint.""\n\nIn my test case, Undertow brake this principle as @OnClose is not called.\n\nJSR-356 says on page 24 (section 5.2.2 ""Errors Originating in Websocket Application Code""):\n\n""If the developer has not provided an error handling method on an endpoint that is generating errors, this indicates to the implementation that the developer does not wish to handle such errors.""\n\nMeaning that if the @OnError method is present, the developer wish to handle such errors. This section does not say that the container/implementation may close the endpoint. This is true only for errors that originate from the container itself (see section 5.2.3 ""Errors Originating in the Container and/or Underlying Connection"").",Application exceptions make Undertow force-close client,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61d4a8ddf4d395ee2208840f,7200,When using the ProxyHandler the HOST header should be updated to utilize the host where the proxied request will go. The original HOST header value should be retained in the X-Forwarded-Host header. \n\nThis is per the Http 1.1 spec (http://www.w3.org/Protocols/rfc2616/rfc2616-sec14.html) section 14.23\n\nExample:\n\nIncoming request:\nGET /ping HTTP/1.1\nHost: somewhere.somecompany\n\nProxied Request:\nGET /ping HTTP/1.1\nHost: somewhere.internal.somecompany\nX-Forwarded-Host: somewhere.somecompany,The ProxyHandler does not update the HOST header with the new host,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61d4aa78f4d395ee22089565,3600,"*Alex's Doc Notes*\n\n*Repo*: [Red_Hat_3scale_Documentation|https://github.com/3scale/Red_Hat_3scale_Documentation]\n*Branch*: 2893-index-envars\n*Topic*: apicast-envars.adoc in administering-api-gateway/topics\n*Guide*: [Administering the API Gateway|https://access.redhat.com/documentation/en-us/red_hat_3scale_api_management/2.5/html-single/administering_the_api_gateway/index]\n\n----\n*Background:*\nThere is a list of APIcast environment variables in [1]. To find the information of a given environment variable, readers need to scroll the page.\n\n*Goal:*\nAt the beginning of the section, add an index of APIcast environment variables. You can make use of IDs and xrefs.\n\n\n*References:*\n[1] https://access.redhat.com/documentation/en-us/red_hat_3scale_api_management/2.5/html/administering_the_api_gateway/apicast_environment_variables ",Create index for APIcast environment variables ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61d4aa78f4d395ee22089620,3600,*Doc Notes*\n\n*Repo*: [Red_Hat_3scale_Documentation|https://github.com/3scale/Red_Hat_3scale_Documentation]\n\n*Branch*: 2578-apiCast-Retry-Policy\n\n*Topic*: [Chapter 4()|https://access.redhat.com/documentation/en-us/red_hat_3scale_api_management/2.5/html-single/administering_the_api_gateway/index#apicast_policies] and [Chapter 6(apicast-envars.adoc)|https://access.redhat.com/documentation/en-us/red_hat_3scale_api_management/2.5/html-single/administering_the_api_gateway/index#apicast_environment_variables].\n\n*Guide*: [Administering the API Gateway|https://access.redhat.com/documentation/en-us/red_hat_3scale_api_management/2.5/html-single/administering_the_api_gateway/index]\n\n*Resources*:\n* [THREESCALE-1517|https://issues.jboss.org/browse/THREESCALE-1517]\n* [Retry Policy Google Doc|https://docs.google.com/document/d/1AkJsuc4l2g2qtGM78UeLNafcYc4FpyZpr9XFR_lkHK4/edit#heading=h.7rliglbtnsb3]\n* [Github Issue|https://github.com/3scale/APIcast/commit/edffbbabaeb241888a82b932c0eefb9aa78eff2f]\n\n*Doc Change Description*:\n\nA new environment variable is being added to Chapter 6 while there needs to be a section added to Chapter 4 as to how to configure the policy. Is this a standard policy?\n....,Document APIcast Retries policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61d4aa78f4d395ee22089670,7200,*Doc Notes*\n\n*Repo*: [Red_Hat_3scale_Documentation|https://github.com/3scale/Red_Hat_3scale_Documentation]\n*Branch*: 3scale2447-env-var-update-url-services-filter\n*Topic*: apicast-envars.adoc in administering-api-gateway/topics\n*Guide*: [Administering the API Gateway|https://access.redhat.com/documentation/en-us/red_hat_3scale_api_management/2.5/html-single/administering_the_api_gateway/index]\n\n*Resources*:\n* [THREESCALE-1524|https://issues.jboss.org/browse/THREESCALE-1524]\n* [parameters.md|https://github.com/3scale/APIcast/blob/master/doc/parameters.md]\n....\nSee changes described here https://github.com/3scale/APIcast/pull/1022/files#diff-18cfbb842286786a71ba8446d540adb3,Document improving APIcast service filter based on URL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61d4aa78f4d395ee2208a7b7,3600,"While deploying a VDB CR with a hive datasource the build fails with the following message:\n{code:java}\nCaused by: org.apache.maven.plugin.MojoExecutionException: Drivers for translator ""hive"" can not be verified. Make sure you have the required dependencies in the pom.xml\n{code}\nSpeaking with Steven, our suspicion is that this message is hidding another issue that seems to be the root cause. VDB CR file attached to review my settings.",VDB CR fails while building with a datasource of type hive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61d4aa78f4d395ee2208a7be,1800,Now that a proper s3 source has been added there's no reason to keep the existing amazon-s3 support in Teiid Spring Boot.  We'll simply deprecate on the Teiid side.,Remove the amazon-s3 source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61d4aa78f4d395ee2208a7bf,3600,"There are quite a few places that reference the older Teiid doc file names (the new names are like r_...-...).  Those links should either be converted to reference 13.0.x, which still uses those names, or updated to 14.0.x with new paths.  ",doc links broken by file name changes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61d4aa78f4d395ee2208a7c1,18000,"The existing s3 support is implemented as a translator / ws source combo.  We instead need this to be just a source to allow for translators to utilize it (excel, parquet, avro).\n\nAs an alternative to our existing support we should evaluate utilizing the sdk rather than providing our own processing logic.  More than likely this will be a quicker path to things like s3 select support.  However ceph seems to lag in s3 support (see TEIID-5935 and no s3 select support) so we'd have to compensate, make the metadata and/or the capabilities specific to the connection type.",create an s3 file source ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61d4aa78f4d395ee2208a7c5,28800,"Extend the ""vdb-codegen"" plugin to generate a full Teiid Spring Boot project based on the VDB defined in YAML CR.\n\nCurrently the plugin already generates the `Application.java` and `DataSource.java` from a given DDL file, but when YAML file is supplied it should also generate the `pom.xml` and `application.properties` to be self-standing full TSB project as in this example https://github.com/teiid/teiid-spring-boot/tree/master/samples/vdb \n\nThe intent behind is to use this for the local building of the project for testing with VSCode Plugin. Based on how this works out, could also be used in Operator work flow.",Generate a Teiid Spring Boot project from given YAML based CR file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61d4aa78f4d395ee2208a7c6,50400,Would like to have native connector \nTo interact with HDFS as a datasource from a DV perspective there are at least two options:\n1 - HttpFS\n2 - WebHDFS\n\nBoth options seems to be in practise very slow. I heard 2x slower.\n\nIt would be nice if we can create a native HDFS connector.,Create native connector to interact with HDFS as a datasource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61d4aa78f4d395ee2208a7ca,3600,Update the Teiid version and release 1.5.0 version,update Teiid dependency to 14.0 and release,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61d4aa78f4d395ee2208a7d9,7200,"Build KeyStore and TrustStore for Teiid Spring Boot engine, on startup as Beans that can be @Autowired into other components for use. \n\nThe configuration is already available, but currently, it is only being used for transport. This can be reused in components like SFTP, Infinispan, REST like translators where one needs this certificate-based needs.  \n\nIf we include connection-level changes this may little larger task than what specified above, which includes changes in Infinispan and REST sources. ",Add a way to build Keystore and Truststore to Spring Boot engine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61d4aa78f4d395ee2208a7da,21600,"The salesforce connection logic was forked for teiid spring boot, we should go back and create a common base.",Create a common base for salesforce connections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61d4aa78f4d395ee2208a7db,3600,"The code at [1] is only looking at the translator name, it should also be checking against the ""name"" defined is ExternalSource as sometimes it can be an ""alias"" used when multiple translators use the same connection factory, like in the case of ""sqlserver"" or ""rest""\n\n\n[1] https://github.com/teiid/teiid-spring-boot/blob/master/tools/vdb-codegen-plugin/src/main/java/org/teiid/maven/VdbCodeGeneratorMojo.java#L269",Code generator not correctly interpreting the Translator name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61d4aa78f4d395ee2208a7dc,3600,Specifically for Teiid Spring Boot we need to change references to the ws translator to the rest and soap translators.  Additionally the rest translator adds support for a springHttp call \n- [~rareddy@jboss.org] can you describe why that was added?,Master teiid spring boot doc varient should not reference the ws translator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61d4aa78f4d395ee2208a7ed,240,"After the infinispan change in Teiid, it now causes the following compile error on the 7.6-1.3.x branch\n{code}\n[ERROR] Failed to execute goal org.apache.maven.plugins:maven-compiler-plugin:3.8.1:compile (default-compile) on project spring-data-infinispan: Compilation failure: Compilation failure: \n[ERROR] /home/vhalbert/RedHat/github/product_branches/teiidrepos/teiid-spring-boot/data/infinispan/src/main/java/org/teiid/spring/data/infinispan/InfinispanConnectionImpl.java:[37,8] org.teiid.spring.data.infinispan.InfinispanConnectionImpl is not abstract and does not override abstract method getTransactionSupport() in org.teiid.infinispan.api.InfinispanConnection\n[ERROR] /home/vhalbert/RedHat/github/product_branches/teiidrepos/teiid-spring-boot/data/infinispan/src/main/java/org/teiid/spring/data/infinispan/InfinispanConnectionImpl.java:[81,5] method does not override or implement a method from a supertype\n[ERROR] /home/vhalbert/RedHat/github/product_branches/teiidrepos/teiid-spring-boot/data/infinispan/src/main/java/org/teiid/spring/data/infinispan/InfinispanConnectionImpl.java:[154,5] method does not override or implement a method from a supertype\n{code}",Compile error due to infinispan change in Teiid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61d4aa78f4d395ee2208a7f2,10800,"The Teiid spring boot tests are commonly erroring out in travis.  It usually is reported as Failed To Load Application Context - but the underlying problem differs.  Here: https://api.travis-ci.org/v3/job/638096554/log.txt the issue is likely that tests are executing concurrently that reference the same vdb.  The current NioVirtualFile logic for Teiid expects only one mount for a given zip.  If you open another, then the previous is closed.",Test errors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61d4aa78f4d395ee2208a7f4,10800,"The infinispan operator generates a secret that contains a yaml file, which is where the developer password is stored.  \n\nThere three approaches:\n1. for materialization assume that we will ""own"" the DataGrid instance such that we'll create and pass our own secret file for infinispan to use.  In this case we'll know the password and can provide that to the connection factory via an env property.\n2. add logic to the connection factory to specify a ""credential file"" such that we'll parse the yaml from the given location (a mount of the secret) and find the appropriate credential for the given username (typically developer).\n3. ask the infinispan team to allow for easier consumption of the secret (a secret per user?)\n\nTo get things working with the example, I can take the first approach - but it will look a little convoluted.\n\nIn general 2 or 3 will be needed in scenarios where we expect to simply pick up existing credentials.",Support loading password credential from infinispan secret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61d4aa78f4d395ee2208a7f6,7200,Create an example showing materialization with JDG on openshift.,Create an example of materialization with JDG on openshift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61d4aa78f4d395ee2208a7fb,57600,Provide support for Amazon S3 transaltor in Teiid Spring Boot with an example.,Support Amazon S3 Transaltor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61d4aa78f4d395ee2208a801,1800,After the header fix TEIIDSB-134 for some reason SAP responds with a 406 - it doesn't like having multiple accept header values at least when used through our spring boot rest support.  Just sending application/xml works as expected.,SAP Gateway returns 406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61d4aa78f4d395ee2208a804,7200,With the upgrade to Teiid 13 we should remove create foreign data wrapper statements that do not define a type as they are redundant.,Remove the usage of dummy create foreign data wrapper statements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61d4aa78f4d395ee2208a810,3600,Provide translator support for Amazon SimpleDB,Provide source support Amazon SimpleDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61d4aa78f4d395ee2208a9d0,14400,Any Designer / UI logic that hard codes the procedures exposed by the file translator should also add the deleteFile procedure.,Add DeleteFile call to File Translator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61d4aa78f4d395ee2208abb9,900,"From http://teiiddesigner.jboss.org/features.html\n\nThe feature matrix link currently 404's, but should point to http://teiid.jboss.org/about/featurematrix/",Link on About Page to Features Matrix broken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61d4aa78f4d395ee2208ac7c,144000,"After modeling a simple CSV file using the ""Create source model from local flat file source"" and creating a Preview VDB deployed to a local standalone, unclustered Teiid 8.6 final box, the Preview VDB works.  However, attempting to deploy the actual VDB fails with:\n\n""One or more models in VDB ""zipFlatFileVDB"" are either missing a translator name or have a translator name that is not found on the current Teiid Instance.  These translator problems must be fixed before you can deploy the VDB"".\n\nThe source model's connection info is below in name -> value pairs:\nconnectionProfileProviderId -> org.eclipse.datatools.connectivity.oda.flatfile\nParentDirectory -> C:\Users\jmuller\Documents\nconnectionProfileInstanceID -> 16447210-df7c-11e3-ad0b-97d7f7ba1428\ntranslator name -> file\nconnectionProfileCategory -> org.eclipse.datatools.connectivity.oda.flatfile\nconnectionProfileName -> zipFileSource\nconnectionProfileDescription ->\n\nThe FileManagedConnectionFactory datasource for the source model was created prior to attempting to deploy the VDB.","Cannot find registered translator ""file"" when deploying or executing VDB; preview works",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61d4aa78f4d395ee2208afbe,300,"Text file example available from [1] contains a mistake in the README.\n\nThe SQL query used for creating the view model includes ""HEADER 3"" whereas the HEADER is on line 1 so should be just ""HEADER"".\n\nData will not be correctly displayed without this change.\n\n[1]\nhttp://download.jboss.org/teiid/designer/7.4/examples/text-file-example.zip",EmployeeData example 7.4 mistake in README SQL statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
