_id,id,fields.timeestimate,fields.description
61d4219ff4d395ee22fff7ea,32489,64800,"I'm trying to test the usage tracking plugin, which is on PAC, while developing Confluence 3.5. It turns out that trying to install a plugin via UPM isn't possible in Confluence 3.5-SNAPSHOT. I get the message:\n\nbq. No plugins matching your search criteria are available for install in your Confluence instance.\n\nTurns out that the current process for testing plugins via the UPM is not easy for product developers at all. Here's what I've gleaned:\n\n- make sure you start in plugin dev mode (not the norm during product dev)\n- use a REST resource [only documented here|https://studio.atlassian.com/wiki/display/UPM/Blitz+Test+UPM+1.2-SNAPSHOT+bundled] to override the product version\n- work out the correct arguments for curl to actually send the necessary request\n- get error message about 'A specified precondition has failed for this request' without any logs to indicate what the problem is\n- give up and download the plugin JAR manually from PAC and install it into Confluence.\n\nI'd like to propose some improvements to make it seamless for product developers to test plugins with UPM/PAC:\n\n- PAC should support a 'latest' version for the product which responds with all the latest versions of plugins for that product\n- when the product has a -SNAPSHOT version, UPM should request the plugins with the 'latest' version instead of the actual version\n\nI think this would cater for all the plugin testing we need to do in development, which is a very important use case for PAC if we don't want to see plugins break with every upgrade.\n\n_Update_: since I got around to trying it, the build number REST resource doesn't actually seem to work in Confluence even when started in dev mode. Not sure why because the error isn't logged. Perhaps I'm using curl incorrectly - here is my attempt at a PUT request:\n\nbq. {{curl -T build-number.txt -u admin:admin -H 'Content-Type: application/vnd.atl.plugin' 'http://localhost:8080/confluence/rest/plugins/1.0/build-number'}}\n\nThe response is just 'A specified precondition has failed for this request', in an HTML page (not JSON). :(\n"
61d4219ff4d395ee22fff7eb,32454,7200,"this will be useful for support, who was already asking about this"
61d4219ff4d395ee22fff7f5,31393,14400,"A screenshot is attached showing how a border is missing for the left and top of the ""uploading plugin"" message box.  \n"
61d4219ff4d395ee22fff7f9,31287,14400,"The {{ServiceTracker}} opened up in the {{PermissionEnforcer}} is never closed. It probably should be, for example when the bundle is uninstalled."
61d4219ff4d395ee22fff7ff,30856,3600,There are UPM tests that exclude Confluence that should be re-enabled once CONFDEV-400 is fixed.
61d4219ff4d395ee22fff821,30457,3600,"These are the AJS.params entries that do not have matching entries in the i18n file\n\n{code}\n<input type=""hidden"" value=""upm.auditLog.install.plugin"" id=""upm.auditLog.install.plugin"" name=""upm.auditLog.install.plugin"">\n<input type=""hidden"" value=""upm.auditLog.uninstall.plugin"" id=""upm.auditLog.uninstall.plugin"" name=""upm.auditLog.uninstall.plugin"">\n<input type=""hidden"" value=""upm.auditLog.disable.plugin"" id=""upm.auditLog.disable.plugin"" name=""upm.auditLog.disable.plugin"">\n<input type=""hidden"" value=""upm.auditLog.disabled.plugin.failure"" id=""upm.auditLog.disabled.plugin.failure"" name=""upm.auditLog.disabled.plugin.failure"">\n<input type=""hidden"" value=""upm.auditLog.enable.plugin"" id=""upm.auditLog.enable.plugin"" name=""upm.auditLog.enable.plugin"">\n<input type=""hidden"" value=""upm.auditLog.enable.plugin.module"" id=""upm.auditLog.enable.plugin.module"" name=""upm.auditLog.enable.plugin.module"">\n<input type=""hidden"" value=""upm.auditLog.disable.plugin.module"" id=""upm.auditLog.disable.plugin.module"" name=""upm.auditLog.disable.plugin.module"">\n<input type=""hidden"" value=""upm.auditLog.safeMode.enter"" id=""upm.auditLog.safeMode.enter"" name=""upm.auditLog.safeMode.enter"">\n<input type=""hidden"" value=""upm.auditLog.safeMode.exit"" id=""upm.auditLog.safeMode.exit"" name=""upm.auditLog.safeMode.exit"">\n{code}"
61d4219ff4d395ee22fff845,30257,7200,"The progress popup is full width, in JIRA on IE7 only.\n\nThis might be an AUI bug, but warrants further investigation."
61d4219ff4d395ee22fff846,30253,7200,Confluence 3.3 is shipping with a version of REST that has the bug with not exposing REST resources after a plugin has been disabled. This means that we can not do the tests in PermissionServiceIntegrationTest until we move to a newer version of Confluence.\n\nIt was suggested that we try to override the version of REST that conf ships with but that seemed to kill confluence.\n\nI tried to move the build to use conf-3.4-m3 but we have tests that hang there. Once we fix this issue we should be able to move to the 3.4 builds.
61d4219ff4d395ee22fff847,30248,21600,"seeing this in jira (on branch r106833) for a couple plugins incl greenhopper and the tempo plugin:\n* when faking the version 522 to get some available plugins, and installing one of these plugins,\n* the install popup comes up but then returns and the ""install now"" button is not grayed out and there is no message in the plugin ui.\n* however, if you do a hard refresh, the plugin is removed from the install tab, shows up in the waiting for restart banner, and shows up grayed-out in the manage existing tab, which is what should have happened originally. not sure if the install is actually ok"
61d4219ff4d395ee22fff848,30247,21600,"talking about cancelling of something that requires restart. if you have just installed the plugins, they still have messages in them that say they'll be installed on restart. these messages need to be removed if the install is cancelled"
61d4219ff4d395ee22fff84c,30190,3600,"Pete's blitz test page:  https://extranet.atlassian.com/display/QA/2010-08-19+-+Confluence+-+3.4-m3+-+UPM+Blitz+Test+-+Pete+de+Zwart\n\n\n{code}\n2010-08-19 00:07:58,225 ERROR [pool-7-thread-2] [com.atlassian.upm.PluginInstaller] execute File '' is not a valid plugin: Could not open the file as a jar\n{code}"
61d4219ff4d395ee22fff84d,30189,14400,"Pete's blitz test page: https://extranet.atlassian.com/display/QA/2010-08-19+-+Confluence+-+3.4-m3+-+UPM+Blitz+Test+-+Pete+de+Zwart\n\n{code}\n2010-08-19 00:06:09,439 ERROR [pool-7-thread-1] [rest.resources.install.InstallFromUriTask] download Failed to install plugin\n -- referer: https://qa-eac.atlassian.com/plugins/servlet/upm | url: /rest/plugins/1.0/ | userName: pdzwart\njava.lang.IllegalStateException: unsupported protocol: 'file'\n        at org.apache.commons.httpclient.protocol.Protocol.lazyRegisterProtocol(Protocol.java:149)\n        at org.apache.commons.httpclient.protocol.Protocol.getProtocol(Protocol.java:117)\n        at org.apache.commons.httpclient.HttpHost.<init>(HttpHost.java:107)\n        at org.apache.commons.httpclient.HttpMethodBase.setURI(HttpMethodBase.java:280)\n        at org.apache.commons.httpclient.HttpMethodBase.<init>(HttpMethodBase.java:220)\n        at org.apache.commons.httpclient.methods.GetMethod.<init>(GetMethod.java:89)\n        at com.sun.jersey.client.apache.ApacheHttpClientHandler.getHttpMethod(ApacheHttpClientHandler.java:211)\n        at com.sun.jersey.client.apache.ApacheHttpClientHandler.handle(ApacheHttpClientHandler.java:129)\n        at com.sun.jersey.api.client.Client.handle(Client.java:365)\n        at com.sun.jersey.api.client.WebResource.handle(WebResource.java:556)\n        at com.sun.jersey.api.client.WebResource.access$300(WebResource.java:68)\n        at com.sun.jersey.api.client.WebResource$Builder.get(WebResource.java:450)\n        at com.atlassian.upm.impl.PluginDownloadServiceImpl.get(PluginDownloadServiceImpl.java:116)\n        at com.atlassian.upm.impl.PluginDownloadServiceImpl.downloadPlugin(PluginDownloadServiceImpl.java:100)\n        at com.atlassian.upm.rest.resources.install.InstallFromUriTask.download(InstallFromUriTask.java:69)\n        at com.atlassian.upm.rest.resources.install.InstallFromUriTask.executeTask(InstallFromUriTask.java:51)\n        at com.atlassian.upm.rest.resources.install.InstallTask.call(InstallTask.java:29)\n        at com.atlassian.upm.rest.resources.install.InstallTask.call(InstallTask.java:14)\n        at com.atlassian.upm.rest.async.AsynchronousTaskManager$1.call(AsynchronousTaskManager.java:63)\n        at com.atlassian.upm.rest.async.AsynchronousTaskManager$1.call(AsynchronousTaskManager.java:57)\n        at java.util.concurrent.FutureTask$Sync.innerRun(FutureTask.java:303)\n        at java.util.concurrent.FutureTask.run(FutureTask.java:138)\n        at java.util.concurrent.ThreadPoolExecutor$Worker.runTask(ThreadPoolExecutor.java:886)\n        at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:908)\n        at java.lang.Thread.run(Thread.java:619)\n{code}"
61d4219ff4d395ee22fff84f,30187,3600,The right-alignment of the purge policy text field feels wrong. Any reason for the alignment? \n\nPenny's blitz page: https://extranet.atlassian.com/display/QA/Penny%27s+IE7+UPM+Blitz+Results
61d4219ff4d395ee22fff851,30185,3600,"If you enter an invalid value into the Purge Policy text field, it shows you an error but still saves the value. If you return to the audit log page, the log is broken and does not display. \n\nPenny's blitz test results: https://extranet.atlassian.com/display/QA/Penny%27s+IE7+UPM+Blitz+Results\n\n"
61d4219ff4d395ee22fff853,30183,32400,"In IE7, the manage plugins page is completely unusable. It is so slow that it takes minutes to load and frequently hangs the browser. \n\nPenny's blitz test page:  https://extranet.atlassian.com/display/QA/Penny%27s+IE7+UPM+Blitz+Results"
61d4219ff4d395ee22fff854,30182,3600,UI is unclear after plugin is uninstalled\n\nAfter uninstalling a plugin....what is the expected UI?
61d4219ff4d395ee22fff856,30180,3600,Error message refers to 'downloading' when trying to 'upload' a plugin\n\njac issue: http://jira.atlassian.com/browse/CONF-20621\n\nblitz page: https://extranet.atlassian.com/display/QA/2010-08-19+-+Confluence+-+3.4-m3+-+UPM+Blitz+Test
61d4219ff4d395ee22fff858,30178,7200,"After uninstalling a plugin, the UI still suggests the plugin modules can be managed.\n\njac issue: http://jira.atlassian.com/browse/CONF-20623\n\nblitz page:  https://extranet.atlassian.com/display/QA/2010-08-19+-+Confluence+-+3.4-m3+-+UPM+Blitz+Test"
61d4219ff4d395ee22fff85c,30174,21600,After installing a plugin the upm should autoscroll to the added plugin accordion.\n\nFrom Andrew Prentice's blitz test results.\n\njac issue:\nhttp://jira.atlassian.com/browse/CONF-20628
61d4219ff4d395ee22fff861,30166,14400,https://studio.atlassian.com/wiki/display/UPM/Blitz+Test+UPM+1.2-SNAPSHOT+bundled
61d4219ff4d395ee22fff863,30164,3600,"If you install the last plugin on the install tab and collapse the plugin, the ""No matching plugins"" text is not shown.\nhttps://studio.atlassian.com/wiki/display/UPM/Blitz+Test+UPM+1.2-SNAPSHOT+bundled"
61d4219ff4d395ee22fff86a,30154,28800,"installed 6 plugins, went to uninstall 3 of them and each gave the message that ""This plugin will be uninstalled when the application is restarted."" Then clicked on show details in the ""There are changes"" banner and only the removal of the last plugin was displayed. On page refresh all three are displayed.\n\nhttps://studio.atlassian.com/wiki/display/UPM/Blitz+Test+UPM+1.2-SNAPSHOT+bundled"
61d4219ff4d395ee22fff86d,30151,14400,"If you have the calendar plugin installed and you do an upgrade that requires restart and before you restart you do an upgrade check then you are told you should upgrade the calendar puling and are presented with an ""upgrade now"" button\n\n    * install calendar plugin\n    * Change JIRA to version 519\n    * upgrade calendar plugin, do not restart\n    * go to upgrade check and check, you are shown calendar plugin\n"
