description,storypoint,issuekey,dataset_name,treated_description_ml,treated_description_bert
"Modify format of version numbers The versions auto-generated by the new EUPS+buildbot look like this:  {code} ========== $ eups list .... pipe_tasks            7.3.2.0_5_g455c355d0f+070b2c1b35  b61 pyfits                3.1.2+9ef17db9b7  b61 b60 python                0.0.1             b61 b60 scisql                0.3+2b5a2f1b52    b61 b60 scons                 2.1.0+2b5a2f1b52  b61 b60 sconsUtils            6.2.0.0_11_gf38997df3e+759c3944a1         b61 sconsUtils            6.2.0.0_19_g755151c0a5+759c3944a1         b60 shapelet              7.3.1.0_1_g9331ee763c+0c72f294dd  b61 shapelet              7.3.1.0_1_g9331ee763c+e56ee84a68  b60 skymap                7.3.1.0_1_g64b750c066+db36490146  b60 skymap                7.3.1.0_1_ga6cd540cd3+493a438aa2  b61 skypix                6.1.0.0_1_g1157bf09ae+65137c93cd  b61 skypix                6.1.0.0_1_gea33592463+6039c04989  b60 .... ========== {code}  where the part before the plus sign is the output of git describe (slightly mangled), and the part after is the SHA1 of the sorted names+sha1s of the dependencies.  While this has the benefit that any two causally disconnected buildbots with the same inputs will build the same versions, many people have complained that they're plain ugly.  So here's an alternative proposal:  * If a tag exist on a commit, use <tag> as the version. * If there's no tag, use branchname-gSHA1ABBREV, where any illegal characters in branchname get turned into dots * If the package has dependencies, and a build of this package with different dependencies already exists, append a +N to the end. Keep the mapping of +N -> (dependency name, sha1s) in a special git repository. Given the source code and this git repo, two causally disconnected buildbots will again generate the same set of versions.  Example versions: * 7.10.2.1 * 7.10.2.1+5 * master-gdeadbeef * feature.dm-1234-gdeadbeef * feature.dm-1234-gdeadbeef+3 ",1,DM-75,datamanagement,modify format version number version auto generate new eups+buildbot look like code eup list pipe_task 7.3.2.0_5_g455c355d0f+070b2c1b35 b61 pyfit 3.1.2 9ef17db9b7 b61 b60 python 0.0.1 b61 b60 scisql 0.3 2b5a2f1b52 b61 b60 scon 2.1.0 2b5a2f1b52 b61 b60 sconsutils 6.2.0.0_11_gf38997df3e+759c3944a1 b61 sconsutils 6.2.0.0_19_g755151c0a5 759c3944a1 b60 shapelet 7.3.1.0_1_g9331ee763c+0c72f294dd b61 shapelet 7.3.1.0_1_g9331ee763c+e56ee84a68 b60 skymap 7.3.1.0_1_g64b750c066+db36490146 b60 skymap 7.3.1.0_1_ga6cd540cd3 493a438aa2 b61 skypix 6.1.0.0_1_g1157bf09ae+65137c93cd b61 skypix 6.1.0.0_1_gea33592463 6039c04989 b60 code plus sign output git describe slightly mangle sha1 sorted names+sha1s dependency benefit causally disconnect buildbot input build version people complain plain ugly alternative proposal tag exist commit use version tag use branchname gsha1abbrev illegal character branchname turn dot package dependency build package different dependency exist append end mapping dependency sha1s special git repository give source code git repo causally disconnect buildbot generate set version example version 7.10.2.1 7.10.2.1 master gdeadbeef feature.dm-1234 gdeadbeef feature.dm-1234 gdeadbeef+3,"Modify format of version numbers The versions auto-generated by the new EUPS+buildbot look like this: {code} ========== $ eups list .... pipe_tasks 7.3.2.0_5_g455c355d0f+070b2c1b35 b61 pyfits 3.1.2+9ef17db9b7 b61 b60 python 0.0.1 b61 b60 scisql 0.3+2b5a2f1b52 b61 b60 scons 2.1.0+2b5a2f1b52 b61 b60 sconsUtils 6.2.0.0_11_gf38997df3e+759c3944a1 b61 sconsUtils 6.2.0.0_19_g755151c0a5+759c3944a1 b60 shapelet 7.3.1.0_1_g9331ee763c+0c72f294dd b61 shapelet 7.3.1.0_1_g9331ee763c+e56ee84a68 b60 skymap 7.3.1.0_1_g64b750c066+db36490146 b60 skymap 7.3.1.0_1_ga6cd540cd3+493a438aa2 b61 skypix 6.1.0.0_1_g1157bf09ae+65137c93cd b61 skypix 6.1.0.0_1_gea33592463+6039c04989 b60 .... ========== {code} where the part before the plus sign is the output of git describe (slightly mangled), and the part after is the SHA1 of the sorted names+sha1s of the dependencies. While this has the benefit that any two causally disconnected buildbots with the same inputs will build the same versions, many people have complained that they're plain ugly. So here's an alternative proposal: * If a tag exist on a commit, use  as the version. * If there's no tag, use branchname-gSHA1ABBREV, where any illegal characters in branchname get turned into dots * If the package has dependencies, and a build of this package with different dependencies already exists, append a +N to the end. Keep the mapping of +N -> (dependency name, sha1s) in a special git repository. Given the source code and this git repo, two causally disconnected buildbots will again generate the same set of versions. Example versions: * 7.10.2.1 * 7.10.2.1+5 * master-gdeadbeef * feature.dm-1234-gdeadbeef * feature.dm-1234-gdeadbeef+3"
"Save a git-branch when a forced push is detected Create a gitolite hook that will save a branch when a forced push is detected.  E.g., if we have a ticket: 'tickets/DM-AAAA' and someone rebases it and pushes  with '--force' before applying the update --- then the hook will branch off the old state into (say):  backups/tickets/DM-AAAA/NNNN where NNNN is a monotonically increasing number (per branch).",1,DM-78,datamanagement,save git branch force push detect create gitolite hook save branch force push detect e.g. ticket ticket dm aaaa rebase push apply update hook branch old state backup ticket dm aaaa nnnn nnnn monotonically increase number branch,"Save a git-branch when a forced push is detected Create a gitolite hook that will save a branch when a forced push is detected. E.g., if we have a ticket: 'tickets/DM-AAAA' and someone rebases it and pushes with '--force' before applying the update --- then the hook will branch off the old state into (say): backups/tickets/DM-AAAA/NNNN where NNNN is a monotonically increasing number (per branch)."
"from __future__ import division breaks division of Extent* If one does: {{from __future__ import division}} the division operator on Extent types raises an exception.  How to repeat: I've tried this with v7_3 and master: {code:py} from __future__ import division import lsst.afw.geom as afwGeom npt = afwGeom.Extent2I(10,10)/2 {code} an exception is raised.  Removing the first line succeeds as expected.",4,DM-83,datamanagement,"future import division break division extent future import division division operator extent type raise exception repeat try v7_3 master code py future import division import lsst.afw.geom afwgeom npt afwgeom extent2i(10,10)/2 code exception raise remove line succeed expect","from __future__ import division breaks division of Extent* If one does: {{from __future__ import division}} the division operator on Extent types raises an exception. How to repeat: I've tried this with v7_3 and master: {code:py} from __future__ import division import lsst.afw.geom as afwGeom npt = afwGeom.Extent2I(10,10)/2 {code} an exception is raised. Removing the first line succeeds as expected."
"tests/testPsfDetermination.py has a broken test In meas_algorithms tests/testPsfDetermination.py has a test testRejectBlends which does not operate as expected. When it calls pcaPsfDeterminer it results in no usable psf candidates BEFORE blends are rejected. Formerly this resulted in a numpy array named ""sizes"" containing one uninitialized value, which might raise an unexpected exception or raise the desired exception, depending on whether that value was negative or positive.    On tickets/DM-3117 I pushed a fix for the bug that caused the invalid ""sizes"" array, but the unit test is now reliably broken because no viable psf candidates raises the wrong exception and does not test blend rejection in any case. So on this same ticket I have commented out the bad test for now.",2,DM-92,datamanagement,test testpsfdetermination.py broken test meas_algorithm test testpsfdetermination.py test testrejectblend operate expect call pcapsfdeterminer result usable psf candidate blend reject result numpy array name size contain uninitialized value raise unexpected exception raise desire exception depend value negative positive ticket push fix bug cause invalid size array unit test reliably break viable psf candidate raise wrong exception test blend rejection case ticket comment bad test,"tests/testPsfDetermination.py has a broken test In meas_algorithms tests/testPsfDetermination.py has a test testRejectBlends which does not operate as expected. When it calls pcaPsfDeterminer it results in no usable psf candidates BEFORE blends are rejected. Formerly this resulted in a numpy array named ""sizes"" containing one uninitialized value, which might raise an unexpected exception or raise the desired exception, depending on whether that value was negative or positive. On tickets/DM-3117 I pushed a fix for the bug that caused the invalid ""sizes"" array, but the unit test is now reliably broken because no viable psf candidates raises the wrong exception and does not test blend rejection in any case. So on this same ticket I have commented out the bad test for now."
"Configure transition screens for DM agile workflow Whenever an issue is transitioned on JIRA Agile board to 'Ready for Review', a screen should pop up to ask for a reviewer.  Whenever it's moved out of that state, another screen should ask for a new assignee.",1,DM-94,datamanagement,configure transition screen dm agile workflow issue transition jira agile board ready review screen pop ask reviewer move state screen ask new assignee,"Configure transition screens for DM agile workflow Whenever an issue is transitioned on JIRA Agile board to 'Ready for Review', a screen should pop up to ask for a reviewer. Whenever it's moved out of that state, another screen should ask for a new assignee."
"Make lsst-build reuse buildIDs if nothing's changed All built packages are EUPS-tagged with build IDs (the bNNN EUPS tags). Without this change, new EUPS tags are declared even when nothing changed since the previous build (and EUPS' tags code doesn't scale well at this time).  This will be implemented by comparing the newly built manifest against ones stored in versiondb, and reusing the build IDs if a matching one is found.",1,DM-95,datamanagement,lsst build reuse buildids change build package eups tag build id bnnn eups tag change new eups tag declare change previous build eups tag code scale time implement compare newly build manifest one store versiondb reuse build id match find,"Make lsst-build reuse buildIDs if nothing's changed All built packages are EUPS-tagged with build IDs (the bNNN EUPS tags). Without this change, new EUPS tags are declared even when nothing changed since the previous build (and EUPS' tags code doesn't scale well at this time). This will be implemented by comparing the newly built manifest against ones stored in versiondb, and reusing the build IDs if a matching one is found."
clean up isr utility code There is some commented code in isr.py.  This should be removed or updated so that it works.,2,DM-98,datamanagement,clean isr utility code comment code isr.py remove update work,clean up isr utility code There is some commented code in isr.py. This should be removed or updated so that it works.
"Improve naming of getters in AmpInfoTable The names of the methods to get values from a record on AmpInfoCatalog are potentially confusing.    This is because the convention is to call the getters get[attributename].  We could change the method names in the AmpInfoCatalog, or add methods in the SWIG wrapper.",1,DM-148,datamanagement,improve naming getter ampinfotable name method value record ampinfocatalog potentially confusing convention getter get[attributename change method name ampinfocatalog add method swig wrapper,"Improve naming of getters in AmpInfoTable The names of the methods to get values from a record on AmpInfoCatalog are potentially confusing. This is because the convention is to call the getters get[attributename]. We could change the method names in the AmpInfoCatalog, or add methods in the SWIG wrapper."
"Box2I(bbox.getMin(), bbox.getMax()) fails for an empty bbox Empty Box2I cannot be round tripped: {code:py} from lsst.afw.geom import Box2I b1 = Box2I() b2 = Box2I(b1.getMin(), b1.getMax()) assert b2.isEmpty() {code}  It is confusing and surprising that this round tripping fails.  It is also a trap for the unwary because saving min and max is the logical way to store boxes in afw tables. Records can contain points but not extents and so it saves casting back and forth and simplifies and clarifies the code to save max instead of extent. Thus that is the path most users will take, and the problem can be a time bomb: it could be quite some time before somebody tries to store an empty box and finds that it does not get retrieved correctly.",1,DM-177,datamanagement,box2i(bbox.getmin bbox.getmax fail bbox box2i round trip code py lsst.afw.geom import box2i b1 box2i b2 box2i(b1.getmin b1.getmax assert b2.isempty code confusing surprising round tripping fail trap unwary save min max logical way store box afw table record contain point extent save cast forth simplifie clarify code save max instead extent path user problem time bomb time somebody try store box find retrieve correctly,"Box2I(bbox.getMin(), bbox.getMax()) fails for an empty bbox Empty Box2I cannot be round tripped: {code:py} from lsst.afw.geom import Box2I b1 = Box2I() b2 = Box2I(b1.getMin(), b1.getMax()) assert b2.isEmpty() {code} It is confusing and surprising that this round tripping fails. It is also a trap for the unwary because saving min and max is the logical way to store boxes in afw tables. Records can contain points but not extents and so it saves casting back and forth and simplifies and clarifies the code to save max instead of extent. Thus that is the path most users will take, and the problem can be a time bomb: it could be quite some time before somebody tries to store an empty box and finds that it does not get retrieved correctly."
"Replace PositionFunctor with some flavor of XYTransform afw has a special functor PositionFunctor that acts like an XYTransform. Unless PositionFunctor does not need to be invertible, it makes sense to merge these, likely by replacing PositionFunctor with the transform from afw::image::XYTransformFromWcsPair (as suggested by Jim Bosch on Trac ticket #2214).",1,DM-197,datamanagement,replace positionfunctor flavor xytransform afw special functor positionfunctor act like xytransform positionfunctor need invertible make sense merge likely replace positionfunctor transform afw::image::xytransformfromwcspair suggest jim bosch trac ticket 2214,"Replace PositionFunctor with some flavor of XYTransform afw has a special functor PositionFunctor that acts like an XYTransform. Unless PositionFunctor does not need to be invertible, it makes sense to merge these, likely by replacing PositionFunctor with the transform from afw::image::XYTransformFromWcsPair (as suggested by Jim Bosch on Trac ticket #2214)."
"Qserv: unit testing (query execution)  Design and build toy prototype of a test framework for testing query execution module. This might require a mock framework, as we want to be able to test things in isolation, without testing everything around the query execution module at the same time. This is related to DMTF-16570-21.",8,DM-202,datamanagement,qserv unit testing query execution design build toy prototype test framework testing query execution module require mock framework want able test thing isolation test query execution module time relate dmtf-16570 21,"Qserv: unit testing (query execution) Design and build toy prototype of a test framework for testing query execution module. This might require a mock framework, as we want to be able to test things in isolation, without testing everything around the query execution module at the same time. This is related to DMTF-16570-21."
"Prepare for setting up new cluster at IN2P3 for continuous integration/testing Once the hardware is available, setup the environment where we could easily run integration testing of different Qserv releases, including testing/comparing performance.  Integrate changes implemented in DM-1078  Add install script that exposes individual steps and allows modifications to the config file: newinstall, qserv-configure --prepare, then edit config file (or copy from somewhere), qserv-configure",4,DM-203,datamanagement,prepare set new cluster in2p3 continuous integration testing hardware available setup environment easily run integration testing different qserv release include testing compare performance integrate change implement dm-1078 add install script expose individual step allow modification config file newinstall qserv configure edit config file copy qserv configure,"Prepare for setting up new cluster at IN2P3 for continuous integration/testing Once the hardware is available, setup the environment where we could easily run integration testing of different Qserv releases, including testing/comparing performance. Integrate changes implemented in DM-1078 Add install script that exposes individual steps and allows modifications to the config file: newinstall, qserv-configure --prepare, then edit config file (or copy from somewhere), qserv-configure"
"Setup multi-node testbed It'd be useful to test Qserv using Winter2014 or Summer2014 data set on a multi-node cluster, just to exercise all pieces of the software and double check we are not missing anything.",5,DM-213,datamanagement,setup multi node testbe useful test qserv winter2014 summer2014 datum set multi node cluster exercise piece software double check miss,"Setup multi-node testbed It'd be useful to test Qserv using Winter2014 or Summer2014 data set on a multi-node cluster, just to exercise all pieces of the software and double check we are not missing anything."
"Qserv worker scheduler – code cleanup The qserv worker scheduler code is a bit ugly.  The actual composable scheduler classes (FifoScheduler, ScanScheduler, GroupScheduler, BlendScheduler) might be pretty clean, but the interactions with the rest (wdb, wcontrol) may be harder to understand.  There should be a small amount of low-hanging fruit of code to clean up, but to make things more sensible and understandable may require some new abstractions and shuffling of logic to new/different classes.  Since this issue was opened, some refactoring work has been done as part of the new xrdssi port, so the organization may be somewhat cleaner now. Still, it's worth it to take a fresh look to evaluate the design/interactions to see how much can/should be reorganized.",6,DM-219,datamanagement,qserv worker scheduler code cleanup qserv worker scheduler code bit ugly actual composable scheduler class fifoscheduler scanscheduler groupscheduler blendscheduler pretty clean interaction rest wdb wcontrol hard understand small low hang fruit code clean thing sensible understandable require new abstraction shuffling logic new different class issue open refactoring work new xrdssi port organization somewhat clean worth fresh look evaluate design interaction reorganize,"Qserv worker scheduler code cleanup The qserv worker scheduler code is a bit ugly. The actual composable scheduler classes (FifoScheduler, ScanScheduler, GroupScheduler, BlendScheduler) might be pretty clean, but the interactions with the rest (wdb, wcontrol) may be harder to understand. There should be a small amount of low-hanging fruit of code to clean up, but to make things more sensible and understandable may require some new abstractions and shuffling of logic to new/different classes. Since this issue was opened, some refactoring work has been done as part of the new xrdssi port, so the organization may be somewhat cleaner now. Still, it's worth it to take a fresh look to evaluate the design/interactions to see how much can/should be reorganized."
Switch to MariaDB We should switch Qserv to the MariaDB Foundation based MySQL.,3,DM-224,datamanagement,switch mariadb switch qserv mariadb foundation base mysql,Switch to MariaDB We should switch Qserv to the MariaDB Foundation based MySQL.
"Setup dev test environment Setup whole Qserv environment, including installing data set, and validate it by running some simple queries. Suggest changes/improvements as appropriate.",8,DM-228,datamanagement,setup dev test environment setup qserv environment include instal datum set validate run simple query suggest change improvement appropriate,"Setup dev test environment Setup whole Qserv environment, including installing data set, and validate it by running some simple queries. Suggest changes/improvements as appropriate."
"meas_base plugins for CModel magnitudes Create meas_base Plugins for single-frame and forced measurement that uses the model-fitting primitives in meas_multifit to implement SDSS-style CModel magnitudes, in which we fit an exp and dev model separately and then fit the linear combination with ellipse parameters held fixed.  An old-style plugin has already been implemented on the HSC fork, and should be used as a guide; this issue involves adapting that implementation to meas_base and potentially cleaning it up a bit.  Note that the HSC implementation cannot be transferred directly to the LSST side because the meas_algorithms APIs are slightly different on the two forks.",6,DM-240,datamanagement,meas_base plugin cmodel magnitude create meas_base plugins single frame force measurement use model fitting primitive meas_multifit implement sdss style cmodel magnitude fit exp dev model separately fit linear combination ellipse parameter hold fix old style plugin implement hsc fork guide issue involve adapt implementation meas_base potentially clean bit note hsc implementation transfer directly lsst meas_algorithm api slightly different fork,"meas_base plugins for CModel magnitudes Create meas_base Plugins for single-frame and forced measurement that uses the model-fitting primitives in meas_multifit to implement SDSS-style CModel magnitudes, in which we fit an exp and dev model separately and then fit the linear combination with ellipse parameters held fixed. An old-style plugin has already been implemented on the HSC fork, and should be used as a guide; this issue involves adapting that implementation to meas_base and potentially cleaning it up a bit. Note that the HSC implementation cannot be transferred directly to the LSST side because the meas_algorithms APIs are slightly different on the two forks."
"refactor forced tasks into two tasks After looking at it a bit more, I think we should refactor the current meas_base forced photometry task to separate the CmdLineTask from the Measurement task.  This will allow the forced measurement task to share a common base class with SingleFrameMeasurementTask (allowing us to move the callPlugin free functions into that base class), and give us better parallels with existing tasks:  - ProcesImageForcedTask (my proposed name for the base command-line task) will be more similar to ProcessImageTask.  We'll also have ProcessForcedCcdTask and ProcessForcedCoaddTask.  - ForcedMeasurementTask will be more similar to SingleFrameMeasurementTask.  In short, I think this will both clean up the ugliness in callPlugin and make the whole hierarchy easier for newcomers to understand.",6,DM-241,datamanagement,refactor force task task look bit think refactor current meas_base force photometry task separate cmdlinetask measurement task allow force measurement task share common base class singleframemeasurementtask allow callplugin free function base class well parallel exist task procesimageforcedtask propose base command line task similar processimagetask processforcedccdtask processforcedcoaddtask forcedmeasurementtask similar singleframemeasurementtask short think clean ugliness callplugin hierarchy easy newcomer understand,"refactor forced tasks into two tasks After looking at it a bit more, I think we should refactor the current meas_base forced photometry task to separate the CmdLineTask from the Measurement task. This will allow the forced measurement task to share a common base class with SingleFrameMeasurementTask (allowing us to move the callPlugin free functions into that base class), and give us better parallels with existing tasks: - ProcesImageForcedTask (my proposed name for the base command-line task) will be more similar to ProcessImageTask. We'll also have ProcessForcedCcdTask and ProcessForcedCoaddTask. - ForcedMeasurementTask will be more similar to SingleFrameMeasurementTask. In short, I think this will both clean up the ugliness in callPlugin and make the whole hierarchy easier for newcomers to understand."
"switch from '.' to '_' in afw::table fields We've been mapping '.' to '_' in afw::table I/O, which unnecessarily complicates lots of things.  We'd like to switch to using '_' in the field names themselves, which requires ending this mapping in I/O, but we need to be backwards compatible.  So we'll add a version to the FITS headers, and continue the mapping if the version is not present or is less than some value.  Until we do this, the new field names being used in meas_base won't round-trip.",3,DM-242,datamanagement,switch afw::table field map afw::table unnecessarily complicate lot thing like switch field name require end mapping need backwards compatible add version fit header continue mapping version present value new field name meas_base will round trip,"switch from '.' to '_' in afw::table fields We've been mapping '.' to '_' in afw::table I/O, which unnecessarily complicates lots of things. We'd like to switch to using '_' in the field names themselves, which requires ending this mapping in I/O, but we need to be backwards compatible. So we'll add a version to the FITS headers, and continue the mapping if the version is not present or is less than some value. Until we do this, the new field names being used in meas_base won't round-trip."
