description,storypoint,issuekey,dataset_name,treated_description_ml,treated_description_bert
"Add unofficial support for custom context levels This issue is in reference to http://moodle.org/mod/forum/discuss.php?d=111362. In brief, one of our Moodle extensions would benefit greatly from being able to use Moodle's roles and contexts system, and we would need to define our own context levels.  However, we would like to be able to do this without having to differ from core in unmaintainable ways. We believe that this would be helpful to many other Moodle partners and plugin developers, and some of our proposed changes may help to improve the maintainability and readability of core Moodle code.",40,MDL-20045,moodle,add unofficial support custom context level issue reference http://moodle.org/mod/forum/discuss.php?d=111362 brief moodle extension benefit greatly able use moodle role context system need define context level like able have differ core unmaintainable way believe helpful moodle partner plugin developer propose change help improve maintainability readability core moodle code,"Add unofficial support for custom context levels This issue is in reference to http://moodle.org/mod/forum/discuss.php?d=111362. In brief, one of our Moodle extensions would benefit greatly from being able to use Moodle's roles and contexts system, and we would need to define our own context levels. However, we would like to be able to do this without having to differ from core in unmaintainable ways. We believe that this would be helpful to many other Moodle partners and plugin developers, and some of our proposed changes may help to improve the maintainability and readability of core Moodle code."
"Add admin settings for disabling particular gradebook calculations, category overriding and grade minimum on the grader report An admin setting for selecting which aggregation types are available was added to Moodle 1.9.5.    Further admin settings for disabling gradebook features such as multiplicator, offset, calculations (see MDL-18049 for details of exactly which features) should be added to Moodle 2.0.",40,MDL-20250,moodle,add admin setting disable particular gradebook calculation category override grade minimum grader report admin set select aggregation type available add moodle 1.9.5 admin setting disable gradebook feature multiplicator offset calculation mdl-18049 detail exactly feature add moodle 2.0,"Add admin settings for disabling particular gradebook calculations, category overriding and grade minimum on the grader report An admin setting for selecting which aggregation types are available was added to Moodle 1.9.5. Further admin settings for disabling gradebook features such as multiplicator, offset, calculations (see MDL-18049 for details of exactly which features) should be added to Moodle 2.0."
"Category children default to extra credit when category agg is switched from Weighted to Simple Category 1 is set to Weighted Mean of Grades  Its children all have weights assigned to them  Category 1's agg method is switched to Simple weighted mean of grades  Its chlldren are now all extra credit    This was kinda, supposedly fixed with MDL-19407 but only took into account an item moved from a category of WM to SWM... not if the entire category is switched (common in our parts).",40,MDL-21180,moodle,category child default extra credit category agg switch weighted simple category set weighted mean grades child weight assign category agg method switch simple weighted mean grade chlldren extra credit kinda supposedly fix mdl-19407 take account item move category wm swm entire category switch common part,"Category children default to extra credit when category agg is switched from Weighted to Simple Category 1 is set to Weighted Mean of Grades Its children all have weights assigned to them Category 1's agg method is switched to Simple weighted mean of grades Its chlldren are now all extra credit This was kinda, supposedly fixed with MDL-19407 but only took into account an item moved from a category of WM to SWM... not if the entire category is switched (common in our parts)."
"Course Participation Report doesn't abide by separate groups In  1.97 (haven't tested other versions), the participation report shows all students to a non-editing teacher in a group.   My courses are set to separate groups, and permissions for Non-editing Teacher for showallgroups are set to prevent. When I log in as a non-editing teacher I set up, and go to the Course reports, click the participation report, choose an activity, and then set ""Show only"" to Student, all student show up.   Shouldn't the participation report also respect separate groups?",20,MDL-21415,moodle,course participation report abide separate group 1.97 test version participation report show student non editing teacher group course set separate group permission non editing teacher showallgroup set prevent log non editing teacher set course report click participation report choose activity set student student participation report respect separate group,"Course Participation Report doesn't abide by separate groups In 1.97 (haven't tested other versions), the participation report shows all students to a non-editing teacher in a group. My courses are set to separate groups, and permissions for Non-editing Teacher for showallgroups are set to prevent. When I log in as a non-editing teacher I set up, and go to the Course reports, click the participation report, choose an activity, and then set ""Show only"" to Student, all student show up. Shouldn't the participation report also respect separate groups?"
Chat window uses browser language rather than preferred language set in profile Steps to reproduce:  1. Set browser language to say Dutch. 2. Login to demo.moodle.net with any of the demo accounts. 3. Access http://demo.moodle.net/mod/chat/view.php?id=203 and click the enter the chat.  Expected result: text in the chat window is in English (preferred language set in profile)  Actual result: text in chat window is in Dutch,3,MDL-21469,moodle,chat window use browser language preferred language set profile step reproduce set browser language dutch login demo.moodle.net demo account access http://demo.moodle.net/mod/chat/view.php?id=203 click enter chat expect result text chat window english preferred language set profile actual result text chat window dutch,Chat window uses browser language rather than preferred language set in profile Steps to reproduce: 1. Set browser language to say Dutch. 2. Login to demo.moodle.net with any of the demo accounts. 3. Access http://demo.moodle.net/mod/chat/view.php?id=203 and click the enter the chat. Expected result: text in the chat window is in English (preferred language set in profile) Actual result: text in chat window is in Dutch
"Design way to send files by web service (upload) Find a way to send any files to any draft file area in Moodle and use them in the web service calls.      Original issue description:  {quote}  Sending files to hub currently works but the design has been refused by Petr because it uses ws token in a POST request with $_FILES. After talking with Dongsheng and Petr, the conclusion was we will be sending files by web service (probably called in a cron script, if the file is too big). And biggest files will be chunked in order to be sent. It implies to write a new file web service design.  Downloading files could need to follow the same design...  {quote}  ",40,MDL-22236,moodle,design way send file web service upload find way send file draft file area moodle use web service call original issue description quote send file hub currently work design refuse petr use ws token post request files talk dongsheng petr conclusion send file web service probably call cron script file big big file chunk order send imply write new file web service design download file need follow design quote,"Design way to send files by web service (upload) Find a way to send any files to any draft file area in Moodle and use them in the web service calls. Original issue description: {quote} Sending files to hub currently works but the design has been refused by Petr because it uses ws token in a POST request with $_FILES. After talking with Dongsheng and Petr, the conclusion was we will be sending files by web service (probably called in a cron script, if the file is too big). And biggest files will be chunked in order to be sent. It implies to write a new file web service design. Downloading files could need to follow the same design... {quote}"
"Moodle bug with course restore section count Course import/restore: if source course has more sections, create them and increase numsections          Before this, all modules that were in non-existant sections sent to section 0. ",8,MDL-22669,moodle,moodle bug course restore section count course import restore source course section create increase numsection module non existant section send section,"Moodle bug with course restore section count Course import/restore: if source course has more sections, create them and increase numsections Before this, all modules that were in non-existant sections sent to section 0."
"TinyMCE can't be resized and doesn't scroll for wide content, especially on small screens When editing an HTML page in 2.0 on a Netbook (I think the one I saw was an eeePC) the screen is so small that the dragging handle of TinyMCE gets cut off and the whole thing is pretty well useless - see http://screencast.com/t/NmE1ODEwM for an example. No idea if this is something which is fixable by setting the default width of the editor based on the width of the browser, but thought I'd mention it anyway...    *Replication steps:*  # Log in as admin  # Navigate to Site admin > Appearance > Site selector  # Choose a theme with blocks on the right, such as Binarus  # Navigate to a course  # Create a page resource  # Reduce the size of the browser window and note the effect on the HTML editor    Expected result: The HTML editor resizes down before it is covered by blocks on the right.    Actual result: The right edge of the HTML editor disappears under the blocks.",20,MDL-23646,moodle,tinymce resize scroll wide content especially small screen edit html page 2.0 netbook think see eeepc screen small drag handle tinymce get cut thing pretty useless http://screencast.com/t/nme1odewm example idea fixable set default width editor base width browser think mention replication step log admin navigate site admin appearance site selector choose theme block right binarus navigate course create page resource reduce size browser window note effect html editor expect result html editor resize cover block right actual result right edge html editor disappear block,"TinyMCE can't be resized and doesn't scroll for wide content, especially on small screens When editing an HTML page in 2.0 on a Netbook (I think the one I saw was an eeePC) the screen is so small that the dragging handle of TinyMCE gets cut off and the whole thing is pretty well useless - see http://screencast.com/t/NmE1ODEwM for an example. No idea if this is something which is fixable by setting the default width of the editor based on the width of the browser, but thought I'd mention it anyway... *Replication steps:* # Log in as admin # Navigate to Site admin > Appearance > Site selector # Choose a theme with blocks on the right, such as Binarus # Navigate to a course # Create a page resource # Reduce the size of the browser window and note the effect on the HTML editor Expected result: The HTML editor resizes down before it is covered by blocks on the right. Actual result: The right edge of the HTML editor disappears under the blocks."
"Allow admin to remain logged in after login as procedure log in as admin to moodle 2 go to a course (home page is enough) from participants block, select a student and login as him/her do something (at least nothing) and return to your personal account at the end of this process, you are always logged out",20,MDL-24120,moodle,allow admin remain log login procedure log admin moodle course home page participant block select student login return personal account end process log,"Allow admin to remain logged in after login as procedure log in as admin to moodle 2 go to a course (home page is enough) from participants block, select a student and login as him/her do something (at least nothing) and return to your personal account at the end of this process, you are always logged out"
"Convert group members selector to Shifted YUI3 module. After working on MDL-24262 I think it is a very good idea to convert the group/user selectors to object orientated yui modules with all arguments being passed in rather than set as globals within the page. This will make the code clearer, and help improve JS sandboxing.  Cheers Sam",13,MDL-24287,moodle,convert group member selector shifted yui3 module work mdl-24262 think good idea convert group user selector object orientate yui module argument pass set global page code clear help improve js sandboxing cheers sam,"Convert group members selector to Shifted YUI3 module. After working on MDL-24262 I think it is a very good idea to convert the group/user selectors to object orientated yui modules with all arguments being passed in rather than set as globals within the page. This will make the code clearer, and help improve JS sandboxing. Cheers Sam"
"Properly deprecate unzip_file/zip_file Sam - Related to your recent commit for MDL-19786, I did a grep of 2.0 code base and found a couple more instances of where the deprecated unzip_file/zip_file is being used:    /question/format/blackboard_six/format.php  /lib/componentlib.php    Peace - Anthony     p.s. - Perhaps we should create a meta issue to grep for deprecated functions as part of code clean up",3,MDL-24343,moodle,properly deprecate unzip_file zip_file sam related recent commit mdl-19786 grep 2.0 code base find couple instance deprecate unzip_file zip_file /question format blackboard_six format.php componentlib.php peace anthony p.s create meta issue grep deprecate function code clean,"Properly deprecate unzip_file/zip_file Sam - Related to your recent commit for MDL-19786, I did a grep of 2.0 code base and found a couple more instances of where the deprecated unzip_file/zip_file is being used: /question/format/blackboard_six/format.php /lib/componentlib.php Peace - Anthony p.s. - Perhaps we should create a meta issue to grep for deprecated functions as part of code clean up"
"Chat: autoscroll help popup incorrect and doesn't display fully (it only concerns the alternative chat methods) Autoscroll help popup gives info on using chat, rather than the autoscroll feature.",3,MDL-24380,moodle,chat autoscroll help popup incorrect display fully concern alternative chat method autoscroll help popup give info chat autoscroll feature,"Chat: autoscroll help popup incorrect and doesn't display fully (it only concerns the alternative chat methods) Autoscroll help popup gives info on using chat, rather than the autoscroll feature."
a pagedown key press in any tinymce editor destroys entire page layout a page down in any tinymce editor will kill the layout of (maybe almost) any page in moodle.  ,20,MDL-24775,moodle,pagedown key press tinymce editor destroy entire page layout page tinymce editor kill layout maybe page moodle,a pagedown key press in any tinymce editor destroys entire page layout a page down in any tinymce editor will kill the layout of (maybe almost) any page in moodle.
"Embedded MP4 videos via linking to the course file loops when finished playing. When I embed a QuickTime video (MP4) like this:   {code}  <a href=""http://mymoodlesite.org/file.php/#/videos/Video_Title.mp4?d=800x450""></a>   {code}  It loops automatically when it is finished playing. This doesn't   happen with FLV videos.     I went into the Moodle folder   -->filter   ------>multimediaplugin   ----------->Find every occurrence of the word loop (there were 4) and   change true to false.   Then I went back to where the video was embedded and added this tag   before my embedded link:   {code}  <param name=""loop"" value=""false"" />   {code}  The video stopped after playing once. ",5,MDL-25473,moodle,embed mp4 video link course file loop finish play embed quicktime video mp4 like code code loop automatically finish play happen flv video go moodle folder -->filter occurrence word loop change true false go video embed add tag embed link code code video stop play,Embedded MP4 videos via linking to the course file loops when finished playing. When I embed a QuickTime video (MP4) like this: {code}  {code} It loops automatically when it is finished playing. This doesn't happen with FLV videos. I went into the Moodle folder -->filter ------>multimediaplugin ----------->Find every occurrence of the word loop (there were 4) and change true to false. Then I went back to where the video was embedded and added this tag before my embedded link: {code}  {code} The video stopped after playing once.
"Deleted Forum & Blog Posts in RSS Block In Moodle 2.0.1+, even after deleting forum/blog post, it continues to show up in the RSS block even after cron is run. Spammers can exploit this.",8,MDL-26170,moodle,delete forum blog posts rss block moodle 2.0.1 delete forum blog post continue rss block cron run spammer exploit,"Deleted Forum & Blog Posts in RSS Block In Moodle 2.0.1+, even after deleting forum/blog post, it continues to show up in the RSS block even after cron is run. Spammers can exploit this."
"'Choose a link' for database URL field gives confusing message Going to add/edit a record in the ""Modules and plugins"" database a user founds a lot of ""Choose link"" button. The problem is that these buttons are completely useless because the file picker page they call, displays: ""Spiacente, nessuno dei repostory disponibili può restituire file esterni."" [that in English should sound like: Sorry, none of the available repository may return external files.]  Please take these buttons off.",8,MDL-26244,moodle,choose link database url field give confusing message go add edit record modules plugin database user found lot choose link button problem button completely useless file picker page display spiacente nessuno dei repostory disponibili pu restituire file esterni english sound like sorry available repository return external file button,"'Choose a link' for database URL field gives confusing message Going to add/edit a record in the ""Modules and plugins"" database a user founds a lot of ""Choose link"" button. The problem is that these buttons are completely useless because the file picker page they call, displays: ""Spiacente, nessuno dei repostory disponibili pu restituire file esterni."" [that in English should sound like: Sorry, none of the available repository may return external files.] Please take these buttons off."
"IMS Enterprise admin notifications fail on message_send() Error: !!! Coding error detected, it must be fixed by a programmer: Could not load preference message_provider_imsenterprise_imsenterprise_enrolment_loggedoff. Does the component and name you supplied to message_send() match a row in message_providers? Message providers must appear in the database so users can configure how they will be notified when they receive messages. !!! !! blah !! !! Stack trace: * line 126 of /lib/messagelib.php: coding_exception thrown * line 247 of /enrol/imsenterprise/lib.php: call to message_send() * line 364 of /lib/cronlib.php: call to enrol_imsenterprise_plugin-&gt;cron() * line 79 of /admin/cron.php: call to cron_run()  !!  Does look like any db/messages.php  ",2,MDL-26408,moodle,ims enterprise admin notification fail message_send error code error detect fix programmer load preference message_provider_imsenterprise_imsenterprise_enrolment_loggedoff component supply message_send match row message_provider message provider appear database user configure notify receive message blah stack trace line 126 /lib messagelib.php coding_exception throw line 247 /enrol imsenterprise lib.php message_send line 364 /lib cronlib.php enrol_imsenterprise_plugin->cron line 79 cron.php cron_run look like db messages.php,"IMS Enterprise admin notifications fail on message_send() Error: !!! Coding error detected, it must be fixed by a programmer: Could not load preference message_provider_imsenterprise_imsenterprise_enrolment_loggedoff. Does the component and name you supplied to message_send() match a row in message_providers? Message providers must appear in the database so users can configure how they will be notified when they receive messages. !!! !! blah !! !! Stack trace: * line 126 of /lib/messagelib.php: coding_exception thrown * line 247 of /enrol/imsenterprise/lib.php: call to message_send() * line 364 of /lib/cronlib.php: call to enrol_imsenterprise_plugin->cron() * line 79 of /admin/cron.php: call to cron_run() !! Does look like any db/messages.php"
"Default timezone is incorrect when not set in PHP configuration When 'date.timezone' is not set in the PHP server configuration, Moodle sets the base timezone to PHP's default which is 'Asia/Jayapura'. When you then set a timezone in the administration area, to say 'Australia/Adelaide', the time is half an hour too fast. If the 'date.timezone' is set in the PHP server configuration, this is not an issue.    The problem seems to be that PHP is still thinking 'Asia/Jayapura' is the base timezone, which is GMT+9 hours. When Moodle stores the timestamp, it subtracts the 9 hours from the current time, storing a ""UTC"" timestamp value. When Moodle then goes to display a time (i.e. assignment conditional access times), it adds +9.5 hours to the timestamp which gives the incorrect time.    When using ""Server's local time"", it works fine and there is no issue either. However, if Moodle is set to use ""Server's local time"", and then a user manually sets their timezone, it is again incorrect.    Might be related to MDL-22625, but it seems a little different again.",20,MDL-27158,moodle,default timezone incorrect set php configuration date.timezone set php server configuration moodle set base timezone php default asia jayapura set timezone administration area australia adelaide time half hour fast date.timezone set php server configuration issue problem php think asia jayapura base timezone gmt+9 hour moodle store timestamp subtract hour current time store utc timestamp value moodle go display time i.e. assignment conditional access time add +9.5 hour timestamp give incorrect time server local time work fine issue moodle set use server local time user manually set timezone incorrect relate mdl-22625 little different,"Default timezone is incorrect when not set in PHP configuration When 'date.timezone' is not set in the PHP server configuration, Moodle sets the base timezone to PHP's default which is 'Asia/Jayapura'. When you then set a timezone in the administration area, to say 'Australia/Adelaide', the time is half an hour too fast. If the 'date.timezone' is set in the PHP server configuration, this is not an issue. The problem seems to be that PHP is still thinking 'Asia/Jayapura' is the base timezone, which is GMT+9 hours. When Moodle stores the timestamp, it subtracts the 9 hours from the current time, storing a ""UTC"" timestamp value. When Moodle then goes to display a time (i.e. assignment conditional access times), it adds +9.5 hours to the timestamp which gives the incorrect time. When using ""Server's local time"", it works fine and there is no issue either. However, if Moodle is set to use ""Server's local time"", and then a user manually sets their timezone, it is again incorrect. Might be related to MDL-22625, but it seems a little different again."
"The link Create ""File system"" instance do not work if an admin has defined that user can add repository instances into the user context, user sees the Create File system instance link, but they don't get permission to do this.   Screen shows on left left side admin settings and the parts in the middle and on the right side are the users view.",5,MDL-27339,moodle,link create file system instance work admin define user add repository instance user context user see create file system instance link permission screen show left leave admin setting part middle right user view,"The link Create ""File system"" instance do not work if an admin has defined that user can add repository instances into the user context, user sees the Create File system instance link, but they don't get permission to do this. Screen shows on left left side admin settings and the parts in the middle and on the right side are the users view."
"Upload users option only allow the following authentication options: Manual account, or No login When uploading a CSV file of users in 2.0.3 the ""Choose an authentication"" drop-down only gives the following options:    Manual account  No login    In 1.9.x I get the following authentication options:    Manual account  No login  LDAP server  Email-based self-registration    ",8,MDL-27953,moodle,upload user option allow follow authentication option manual account login upload csv file user 2.0.3 choose authentication drop give following option manual account login 1.9.x follow authentication option manual account login ldap server email base self registration,"Upload users option only allow the following authentication options: Manual account, or No login When uploading a CSV file of users in 2.0.3 the ""Choose an authentication"" drop-down only gives the following options: Manual account No login In 1.9.x I get the following authentication options: Manual account No login LDAP server Email-based self-registration"
Teachers cannot delete user submissions - advanced uploading of files In 1.9 teachers had the ability to delete submitted files as well as revert the status to draft.    In 2.x the teacher deletion of files is not possible.,20,MDL-28448,moodle,teacher delete user submission advanced uploading file 1.9 teacher ability delete submit file revert status draft 2.x teacher deletion file possible,Teachers cannot delete user submissions - advanced uploading of files In 1.9 teachers had the ability to delete submitted files as well as revert the status to draft. In 2.x the teacher deletion of files is not possible.
"forbid use of cookies especially from javascript Our developers and theme designers keep smuggling in cookies, this is not compatible with $CFG->cookiehttponly and is against some privacy laws.  Simply stop relying on cookies and if necessary use user preferences.  Offenders: * admin roles UI * lib/cookies.js * scorm data model * repository * anomaly theme   Solution: 1/ educate integrators and developers - see MDL-17084 for ajax user preferences 2/ fix the code 3/ fix dev docs",40,MDL-28631,moodle,forbid use cookie especially javascript developer theme designer smuggling cookie compatible cfg->cookiehttponly privacy law simply stop rely cookie necessary use user preference offender admin role ui lib cookies.js scorm datum model repository anomaly theme solution 1/ educate integrator developer mdl-17084 ajax user preference 2/ fix code 3/ fix dev doc,"forbid use of cookies especially from javascript Our developers and theme designers keep smuggling in cookies, this is not compatible with $CFG->cookiehttponly and is against some privacy laws. Simply stop relying on cookies and if necessary use user preferences. Offenders: * admin roles UI * lib/cookies.js * scorm data model * repository * anomaly theme Solution: 1/ educate integrators and developers - see MDL-17084 for ajax user preferences 2/ fix the code 3/ fix dev docs"
